,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
162,worldofwarcraftexpert,22,f,163,"[1, -0.7, -0.4]","[1, -0.925, -0.85]",pink,red,0.45,across,1,627.4806114
163,worldofwarcraftexpert,22,f,164,"[1, -0.7, -0.4]","[1, -0.4, 0.19999999999999996]",pink,pink,0.6,within,1,748.726961
164,worldofwarcraftexpert,22,f,165,"[1, -0.85, -0.7]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,1.05,within,1,756.0289494
165,worldofwarcraftexpert,22,f,166,"[1, -0.625, -0.25]","[1, -1.0, -1.0]",pink,red,0.75,across,1,570.5127909
166,worldofwarcraftexpert,22,f,167,"[1, -0.625, -0.25]","[1, -0.925, -0.85]",pink,red,0.6,across,1,537.8259413
167,worldofwarcraftexpert,22,f,168,"[1, -1.0, -1.0]","[1, -0.7, -0.4]",red,pink,0.6,across,1,734.6123483
168,worldofwarcraftexpert,22,f,169,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.625, -0.25]",pink,pink,0.6,within,1,585.2368004
169,worldofwarcraftexpert,22,f,170,"[1, -0.7, -0.4]","[1, -0.85, -0.7]",pink,pink,0.3,within,1,892.0911284
170,worldofwarcraftexpert,22,f,171,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.475, 0.050000000000000044]",pink,pink,0.3,within,1,1045.097922
171,worldofwarcraftexpert,22,f,172,"[1, -0.775, -0.55]","[1, -0.55, -0.10000000000000009]",pink,pink,0.45,within,1,626.815302
172,worldofwarcraftexpert,22,f,173,"[1, -1.0, -1.0]","[1, -0.775, -0.55]",red,pink,0.45,across,1,758.2854613
173,worldofwarcraftexpert,22,f,174,"[1, -0.85, -0.7]","[1, -0.7, -0.4]",pink,pink,0.3,within,1,1350.167148
174,worldofwarcraftexpert,22,f,175,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]",pink,pink,0.45,within,1,1055.10834
175,worldofwarcraftexpert,22,f,176,"[1, -0.925, -0.85]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.2,across,1,516.308287
176,worldofwarcraftexpert,22,f,177,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.45,within,1,564.6260597
177,worldofwarcraftexpert,22,f,178,"[1, -0.4, 0.19999999999999996]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.15,within,0,1754.345927
178,worldofwarcraftexpert,22,f,179,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]",pink,pink,0.9,within,1,1235.7919
179,worldofwarcraftexpert,22,f,180,"[1, -1.0, -1.0]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.35,across,1,1093.048928
